Food_Item,Calories_per_100g,Protein_per_100g,Carbs_per_100g,Fat_per_100g,Diet_Type,Allergy,Food_Category,Meal_Time,Portion_Size
Rava Dosa,130,3.0,22.0,4.0,Vegetarian,Gluten,Grain,Breakfast,1 dosa (80g)
Banana Nut Smoothie,250,8.0,40.0,5.0,Vegetarian,None,Fruit,Breakfast,1 glass (250ml)
Cabbage and Carrot Salad,80,3.0,18.0,1.0,Vegan,None,Vegetable,Snack,1 bowl (100g)
Almonds,160,6.0,6.0,14.0,Vegan,Nuts,Nuts,Snack,1 ounce (28g)
Methi Thepla (Fenugreek Flatbread),140,6.0,25.0,3.0,Vegetarian,Gluten,Grain,Breakfast,1 thepla (100g)
Lentil Soup,150,10.0,20.0,4.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Lentil Soup,150,10.0,20.0,4.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Boiled Eggs,80,7.0,1.0,5.0,High-Protein,Eggs,Protein,Breakfast,2 eggs (100g)
Cucumber Salad with Lemon,30,1.0,7.0,0.0,Vegan,None,Vegetable,Snack,1 bowl (100g)
Green Beans,31,2.0,7.0,0.1,Vegan,None,Vegetable,Snack,1 cup (125g)
Baingan Bharta (Smoked Eggplant Curry),100,3.0,15.0,4.0,Vegan,None,Vegetable,Lunch,1 cup (150g)
Cucumber,16,0.7,3.8,0.1,Vegan,None,Vegetable,Snack,1 medium (100g)
Sabudana Khichdi (Tapioca Pearl Stir-fry),200,4.0,40.0,5.0,Vegetarian,None,Grain,Lunch,1 cup (200g)
Sabudana Khichdi (Tapioca Pearl Stir-fry),200,4.0,40.0,5.0,Vegetarian,None,Grain,Lunch,1 cup (200g)
Chickpea Salad,150,8.0,20.0,4.0,Vegan,None,Legumes,Snack,1 bowl (150g)
Chana Masala (Chickpea Curry),270,14.0,45.0,6.0,Vegan,None,Legumes,Lunch,1 cup (200g)
Paneer,265,18.0,1.2,20.0,High-Protein,Dairy,Dairy,Lunch,1 serving (200g)
Quinoa Salad,180,8.0,30.0,5.0,Vegan,None,Grain,Lunch,1 serving (150g)
Cabbage Stir Fry,100,3.0,12.0,5.0,Vegan,None,Vegetable,Snack,1 bowl (150g)
Green Moong Soup,120,8.0,15.0,3.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Paneer,265,18.0,1.2,20.0,High-Protein,Dairy,Dairy,Lunch,1 serving (200g)
Masoor Dal,230,12.0,35.0,7.0,Vegan,None,Meal,Lunch,1 bowl (200g)
Baingan Bharta,180,6.0,18.0,9.0,Vegan,None,Meal,Dinner,1 bowl (200g)
Oats Upma,180,6.0,30.0,4.0,Vegan,None,Grain,Breakfast,1 bowl (200g)
Green Moong Soup,120,8.0,15.0,3.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Chickpea Salad with Cucumber,150,10.0,20.0,5.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Soya Bean Chutney,120,9.0,10.0,5.0,Vegan,None,Legumes,Lunch,2 tbsp (50g)
Vegetable Soup,70,3.0,10.0,2.0,Vegan,None,Vegetable,Lunch,1 bowl (200g)
Sweet Potato Chaat,180,4.0,35.0,3.0,Vegan,None,Vegetable,Snack,1 plate (150g)
Baked Salmon with Spinach,300,20.0,10.0,20.0,Non-Vegetarian,Fish,Protein,Lunch,1 serving (200g)
Avocados,240,3.0,12.0,22.0,Healthy Fats,None,Fruit,Snack,1 avocado (150g)
Methi Thepla (Fenugreek Flatbread),140,6.0,25.0,3.0,Vegetarian,Gluten,Grain,Breakfast,1 thepla (100g)
Vegetable Pulao,300,10.0,55.0,7.0,Vegetarian,None,Meal,Lunch,1 plate (250g)
Masala Chaas (Spiced Buttermilk),50,3.0,5.0,2.0,Vegetarian,Dairy,Dairy,Snack,1 glass (150g)
Soya Bean Chutney,120,9.0,10.0,5.0,Vegan,None,Legumes,Lunch,2 tbsp (50g)
Dhokla,120,6.0,22.0,2.0,Vegetarian,Gluten,Grain,Breakfast,2 pieces (100g)
Rajma Chawal,350,12.0,60.0,5.0,High-Carb,None,Indian Dish,Lunch,1 plate (300g)
Apple,95,0.5,25.0,0.3,Vegan,None,Fruit,Snack,1 medium (150g)
Cucumber Raita,60,3.0,6.0,2.0,Vegetarian,Dairy,Dairy,Lunch,1 cup (150g)
Mushroom Curry,130,6.0,15.0,6.0,Vegan,None,Vegetable,Lunch,1 cup (150g)
Steamed Idli,150,4.0,30.0,1.0,Vegetarian,Gluten,Grain,Breakfast,2 pieces (100g)
Kadhi Pakora,350,12.0,45.0,15.0,Vegetarian,Dairy,Meal,Dinner,1 serving (200g)
Avocado and Tomato Toast,220,6.0,22.0,12.0,Vegetarian,Gluten,Fruit,Breakfast,1 slice (80g)
Shahi Paneer,450,20.0,25.0,25.0,Vegetarian,Dairy,Meal,Dinner,1 serving (200g)
Coconut Chips,200,2.0,10.0,18.0,Vegan,None,Snack,Snack,1 ounce (28g)
Blueberries,85,1.0,21.0,0.5,Vegan,None,Fruit,Snack,1 cup (150g)
Aloo Tikki,180,4.0,35.0,5.0,Vegetarian,None,Vegetable,Snack,2 pieces (100g)
Upma,150,4.0,30.0,2.5,Balanced,Gluten,Indian Dish,Breakfast,1 serving (200g)
Greek Yogurt with Honey and Almonds,200,12.0,15.0,10.0,Vegetarian,Dairy,Dairy,Snack,1 cup (150g)
Cabbage Paratha,280,7.0,45.0,10.0,Vegetarian,None,Meal,Breakfast,2 parathas (200g)
Khandvi (Savory Gram Flour Rolls),130,5.0,20.0,4.0,Vegetarian,Gluten,Grain,Snack,2 pieces (80g)
Boiled Eggs,80,7.0,1.0,5.0,High-Protein,Eggs,Protein,Breakfast,2 eggs (100g)
Ragi Dosa,160,5.0,28.0,3.0,Vegan,Gluten,Grain,Breakfast,1 dosa (100g)
Sabudana Khichdi (Tapioca Pearl Stir-fry),200,4.0,40.0,5.0,Vegetarian,None,Grain,Lunch,1 cup (200g)
Baingan Bharta,180,6.0,18.0,9.0,Vegan,None,Meal,Dinner,1 bowl (200g)
Baked Sweet Potato Fries,150,3.0,30.0,5.0,Vegan,None,Vegetable,Snack,1 serving (100g)
Avocado and Tomato Toast,220,6.0,22.0,12.0,Vegetarian,Gluten,Fruit,Breakfast,1 slice (80g)
Kale Chips,120,3.0,18.0,6.0,Vegan,None,Snack,Snack,1 serving (50g)
Boiled Eggs with Spinach,140,12.0,6.0,9.0,Vegetarian,Eggs,Protein,Breakfast,2 eggs (150g)
Boiled Eggs,80,7.0,1.0,5.0,High-Protein,Eggs,Protein,Breakfast,1 egg (50g)
Gajar Halwa (Carrot Pudding),350,5.0,50.0,15.0,Vegetarian,Dairy,Dessert,Snack,1 small bowl (100g)
Kale Salad with Olive Oil,150,4.0,10.0,12.0,Vegan,None,Vegetable,Snack,1 bowl (150g)
Cabbage and Carrot Salad,80,3.0,18.0,1.0,Vegan,None,Vegetable,Snack,1 bowl (100g)
Boiled Eggs,80,7.0,1.0,5.0,High-Protein,Eggs,Protein,Breakfast,2 eggs (100g)
Tomato,22,1.0,5.0,0.2,Vegan,None,Vegetable,Snack,1 medium (100g)
Dhokla,120,6.0,22.0,2.0,Vegetarian,Gluten,Grain,Breakfast,2 pieces (100g)
Apple,95,0.5,25.0,0.3,Vegan,None,Fruit,Snack,1 medium (150g)
Mango Chia Pudding,250,6.0,45.0,10.0,Vegan,None,Dessert,Snack,1 small bowl (150g)
Spinach,23,2.9,3.6,0.4,Low-Calorie,None,Vegetable,Lunch,1 cup (180g)
Banana Nut Smoothie,250,8.0,40.0,5.0,Vegetarian,None,Fruit,Breakfast,1 glass (250ml)
Grilled Salmon,400,40.0,5.0,25.0,Low-Carb,Fish,Meat,Dinner,1 fillet (200g)
Mango Chia Smoothie,180,6.0,25.0,8.0,Vegan,None,Fruit,Breakfast,1 cup (200g)
Sweet Potato Chaat,180,4.0,35.0,3.0,Vegan,None,Vegetable,Snack,1 plate (150g)
Lentils,116,9.0,20.1,0.4,High-Protein,None,Legume,Lunch,1 cup (200g)
Cabbage and Peas Stir-Fry,120,4.0,15.0,4.0,Vegan,None,Vegetable,Snack,1 bowl (150g)
Chickpea Hummus with Carrot Sticks,180,8.0,20.0,8.0,Vegan,None,Legumes,Snack,1 bowl (150g)
Banana,89,1.1,22.8,0.3,Low-Calorie,None,Fruit,Morning Snack,1 banana (120g)
Cucumber and Tomato Salad,100,3.0,10.0,4.0,Vegan,None,Vegetable,Snack,1 bowl (150g)
Vegetable Poha,200,6.0,35.0,5.0,Vegan,None,Grain,Breakfast,1 bowl (200g)
Soya Chunks Stir Fry,220,25.0,10.0,10.0,High-Protein,Soy,Meal,Lunch,1 serving (200g)
Whole Wheat Chapati with Ghee,150,4.0,25.0,5.0,Vegetarian,Gluten,Grain,Lunch,1 chapati (50g)
Oranges,62,1.2,15.4,0.2,Vegan,None,Fruit,Snack,1 medium (130g)
Baingan Bharta,180,6.0,18.0,9.0,Vegan,None,Meal,Dinner,1 bowl (200g)
Sunflower Seeds,165,6.0,7.0,14.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Dosa,168,3.9,30.0,3.7,Low-Fat,None,Indian Dish,Breakfast,1 dosa (100g)
Cheese (Cheddar),115,7.0,1.0,9.0,High-Protein,Dairy,Dairy,Snack,1 slice (30g)
Chapati with Mixed Vegetables,180,7.0,30.0,4.0,Vegetarian,None,Meal,Lunch,1 chapati with 1 bowl vegetables
Smashed Avocado on Toast,210,6.0,18.0,14.0,Vegetarian,Gluten,Nuts,Breakfast,1 slice (100g)
Palak Paneer,190,10.0,14.0,10.0,Balanced,Dairy,Indian Dish,Lunch,1 serving (200g)
Poha,180,3.0,30.0,5.0,Low-Fat,None,Indian Dish,Breakfast,1 serving (200g)
Quinoa and Roasted Veggie Bowl,300,12.0,40.0,10.0,Vegan,None,Grain,Lunch,1 bowl (200g)
Roasted Pumpkin Seeds,100,5.0,10.0,7.0,Vegan,None,Nuts,Snack,1 serving (30g)
Chia Pudding with Berries,180,8.0,20.0,12.0,Vegetarian,Dairy,Dairy,Breakfast,1 cup (150g)
Baingan Bharta,180,6.0,18.0,9.0,Vegan,None,Meal,Dinner,1 bowl (200g)
Cabbage Stir Fry,100,3.0,12.0,5.0,Vegan,None,Vegetable,Snack,1 bowl (150g)
Masoor Dal (Red Lentil Soup),210,14.0,34.0,3.5,Vegan,None,Legumes,Lunch,1 cup (200g)
Barley Salad with Avocado,230,8.0,35.0,8.0,Vegan,None,Grain,Lunch,1 bowl (200g)
Peanuts,170,7.0,6.0,14.0,Vegan,Nuts,Nuts,Snack,1 ounce (28g)
Cabbage Sabzi (Stir-Fried Cabbage),100,4.0,15.0,3.0,Vegan,None,Vegetable,Lunch,1 cup (150g)
Mango Chia Smoothie,180,6.0,25.0,8.0,Vegan,None,Fruit,Breakfast,1 cup (200g)
Greek Yogurt with Honey and Walnuts,200,12.0,18.0,10.0,Vegetarian,Dairy,Dairy,Snack,1 cup (150g)
Methi Thepla,150,5.0,25.0,4.0,Vegetarian,Gluten,Grain,Breakfast,1 thepla (80g)
Almonds,160,6.0,6.0,14.0,Vegan,Nuts,Nuts,Snack,1 ounce (28g)
Palak Chaat,250,6.0,30.0,12.0,Vegetarian,None,Snack,Afternoon Snack,1 plate (150g)
Palak (Spinach) Paratha,150,5.0,25.0,3.0,Vegetarian,Gluten,Grain,Breakfast,1 paratha (100g)
Sunflower Seeds,165,6.0,7.0,14.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Soya Chunks Stir-Fry,200,18.0,15.0,8.0,Vegan,None,Protein,Lunch,1 bowl (150g)
Palak Paneer,250,15.0,20.0,15.0,Vegetarian,Dairy,Meal,Lunch,1 serving (200g)
Tandoori Chicken,300,40.0,5.0,10.0,High-Protein,None,Meal,Dinner,1 piece (150g)
Roasted Pumpkin Seeds,100,5.0,10.0,7.0,Vegan,None,Nuts,Snack,1 serving (30g)
Baingan Bharta (Smoked Eggplant Curry),100,3.0,15.0,4.0,Vegan,None,Vegetable,Lunch,1 cup (150g)
Cucumber Sandwiches,120,5.0,18.0,3.0,Vegetarian,Gluten,Vegetarian,Snack,2 slices (80g)
Almond Butter Toast,190,6.0,15.0,12.0,Vegetarian,Nuts,Nuts,Breakfast,1 slice (60g)
Chapati with Mixed Vegetables,180,7.0,30.0,4.0,Vegetarian,None,Meal,Lunch,1 chapati with 1 bowl vegetables
Vegetable Soup,100,4.0,20.0,2.0,Vegan,None,Vegetable,Snack,1 bowl (200g)
Avocado Smoothie,250,5.0,20.0,20.0,Vegan,None,Fruit,Breakfast,1 cup (250g)
Chicken Salad,300,30.0,5.0,15.0,Low-Carb,None,Protein,Lunch,1 bowl (200g)
Quinoa Salad with Veggies,220,8.0,35.0,7.0,Vegan,None,Grain,Lunch,1 bowl (200g)
Baked Sweet Potato Fries,150,3.0,30.0,5.0,Vegan,None,Vegetable,Snack,1 serving (100g)
Dosa with Sambar,350,8.0,45.0,12.0,Vegetarian,None,Meal,Breakfast,2 dosas with 1 cup sambar
Spinach and Mushroom Soup,110,6.0,12.0,5.0,Vegetarian,None,Vegetable,Lunch,1 bowl (150g)
Green Beans,31,2.0,7.0,0.1,Vegan,None,Vegetable,Snack,1 cup (125g)
Vegetable Soup,80,3.0,15.0,1.0,Low-Calorie,None,Soup,Dinner,1 bowl (250g)
Pumpkin Seeds,180,9.0,4.0,15.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Tandoori Chicken,300,40.0,5.0,10.0,High-Protein,None,Meal,Dinner,1 piece (150g)
Moong Dal Khichdi,200,10.0,30.0,5.0,Vegetarian,None,Meal,Lunch,1 bowl (250g)
Cucumber,16,0.7,3.8,0.1,Vegan,None,Vegetable,Snack,1 medium (100g)
Baked Salmon with Vegetables,350,30.0,10.0,20.0,Low-Carb,Fish,Meat,Dinner,1 serving (200g)
Mashed Sweet Potatoes,150,3.0,35.0,2.0,Vegan,None,Side Dish,Dinner,1 serving (200g)
Palak Paneer,190,10.0,14.0,10.0,Balanced,Dairy,Indian Dish,Lunch,1 serving (200g)
Grilled Tofu with Veggies,250,18.0,15.0,15.0,Vegan,None,Protein,Lunch,1 bowl (200g)
Poha,180,3.0,30.0,5.0,Low-Fat,None,Indian Dish,Breakfast,1 serving (200g)
Coconut Chia Pudding,150,6.0,15.0,9.0,Vegan,None,Nuts,Snack,1 cup (150g)
Apple Cinnamon Oatmeal,150,6.0,25.0,4.0,Vegetarian,Gluten,Grain,Breakfast,1 bowl (200g)
Sweet Potato and Chickpea Salad,220,8.0,35.0,6.0,Vegan,None,Vegetable,Lunch,1 bowl (200g)
Quinoa Salad,180,8.0,30.0,5.0,Vegan,None,Grain,Lunch,1 serving (150g)
Grilled Salmon,400,40.0,5.0,25.0,Low-Carb,Fish,Meat,Dinner,1 fillet (200g)
Cucumber Sandwiches,120,5.0,18.0,3.0,Vegetarian,Gluten,Vegetarian,Snack,2 slices (80g)
Apple Cinnamon Oatmeal,150,6.0,25.0,4.0,Vegetarian,Gluten,Grain,Breakfast,1 bowl (200g)
Kale Chips,120,3.0,18.0,6.0,Vegan,None,Snack,Snack,1 serving (50g)
Mung Bean Salad,180,9.0,30.0,4.0,Vegan,None,Legumes,Lunch,1 bowl (200g)
Almonds,576,21.2,21.6,49.9,High-Fat,None,Nuts,Afternoon Snack,1 handful (30g)
Baked Sweet Potatoes with Cinnamon,180,3.0,40.0,1.0,Vegan,None,Vegetable,Snack,1 medium potato (150g)
Aloo Tikki,180,4.0,35.0,5.0,Vegetarian,None,Vegetable,Snack,2 pieces (100g)
Strawberries,50,1.0,12.0,0.5,Vegan,None,Fruit,Snack,1 cup (150g)
Mango Chia Smoothie,180,6.0,25.0,8.0,Vegan,None,Fruit,Breakfast,1 cup (200g)
Aloo Tikki,180,4.0,35.0,5.0,Vegetarian,None,Vegetable,Snack,2 pieces (100g)
Masala Chaas (Spiced Buttermilk),50,3.0,6.0,2.0,Vegetarian,Dairy,Dairy,Snack,1 glass (200ml)
Sushi with Avocado,250,10.0,30.0,10.0,Vegan,None,Meal,Lunch,5 pieces (150g)
Cucumber Salad with Lemon,30,1.0,7.0,0.0,Vegan,None,Vegetable,Snack,1 bowl (100g)
Quinoa Salad with Veggies,220,8.0,35.0,7.0,Vegan,None,Grain,Lunch,1 bowl (200g)
Baingan Bharta (Smoked Eggplant Curry),100,3.0,15.0,4.0,Vegan,None,Vegetable,Lunch,1 cup (150g)
Pineapple Salad,120,2.0,30.0,0.0,Vegan,None,Fruit,Snack,1 cup (150g)
Quinoa Salad,222,8.0,39.0,3.5,High-Protein,None,Salad,Dinner,1 bowl (250g)
Roasted Pumpkin Seeds,100,5.0,10.0,7.0,Vegan,None,Nuts,Snack,1 serving (30g)
Cabbage Poriyal,150,5.0,20.0,8.0,Vegan,None,Meal,Dinner,1 serving (200g)
Chana Masala,350,15.0,55.0,8.0,Vegan,None,Meal,Lunch,1 serving (200g)
Masoor Dal (Red Lentil Soup),210,14.0,34.0,3.5,Vegan,None,Legumes,Lunch,1 cup (200g)
Chia Pudding with Berries,180,8.0,20.0,12.0,Vegetarian,Dairy,Dairy,Breakfast,1 cup (150g)
Spinach and Tomato Omelette,180,14.0,8.0,12.0,Vegetarian,Eggs,Protein,Breakfast,1 omelette (150g)
Steamed Veggie Wraps,150,5.0,30.0,4.0,Vegan,None,Vegetable,Lunch,1 wrap (150g)
Moong Dal Khichdi,200,10.0,30.0,5.0,Vegetarian,None,Meal,Lunch,1 bowl (250g)
Kale Chips,100,5.0,8.0,6.0,Vegan,None,Vegetable,Snack,1 serving (50g)
Spinach,7,0.9,1.0,0.1,Vegan,None,Vegetable,Snack,1 cup (30g)
Almond Butter on Apple Slices,150,4.0,18.0,9.0,Vegan,None,Nuts,Snack,1 serving (100g)
Cabbage and Peas Stir-Fry,120,4.0,15.0,4.0,Vegan,None,Vegetable,Snack,1 bowl (150g)
Greek Yogurt with Honey and Walnuts,200,12.0,18.0,10.0,Vegetarian,Dairy,Dairy,Snack,1 cup (150g)
Berries (Mixed),70,1.0,17.0,0.5,Vegan,None,Fruit,Snack,1 cup (150g)
Chana Masala,350,15.0,55.0,8.0,Vegan,None,Meal,Lunch,1 serving (200g)
Oats Porridge,150,6.0,30.0,3.0,Vegan,None,Grain,Breakfast,1 bowl (200g)
Khandvi (Savory Gram Flour Rolls),130,5.0,20.0,4.0,Vegetarian,Gluten,Grain,Snack,2 pieces (80g)
Palak Paneer,190,10.0,14.0,10.0,Balanced,Dairy,Indian Dish,Lunch,1 serving (200g)
Vegetable Samosa,200,5.0,25.0,10.0,Vegetarian,None,Snack,Snack,1 piece (50g)
Avocado Smoothie,250,5.0,20.0,20.0,Vegan,None,Fruit,Breakfast,1 cup (250g)
Poha,180,3.0,30.0,5.0,Low-Fat,None,Indian Dish,Breakfast,1 serving (200g)
Mixed Nuts with Berries,220,8.0,15.0,15.0,Vegan,Nuts,Nuts,Snack,1 serving (50g)
Steamed Idli,150,4.0,30.0,1.0,Vegetarian,Gluten,Grain,Breakfast,2 pieces (100g)
Dahi Puri (Curd Puri),150,5.0,25.0,5.0,Vegetarian,None,Snack,Evening Snack,4 pieces (100g)
Lentil Soup,180,12.0,30.0,3.0,Vegan,None,Meal,Lunch,1 bowl (250g)
Tandoori Chicken,300,40.0,5.0,10.0,High-Protein,None,Meal,Dinner,1 piece (150g)
Vegetable Pulao,300,10.0,55.0,7.0,Vegetarian,None,Meal,Lunch,1 plate (250g)
Chia Pudding,200,8.0,20.0,12.0,Vegetarian,Dairy,Dairy,Breakfast,1 cup (150g)
Tomato and Avocado Salad,160,4.0,15.0,10.0,Vegan,None,Vegetable,Lunch,1 bowl (150g)
Cucumber and Tomato Salad,100,3.0,10.0,4.0,Vegan,None,Vegetable,Snack,1 bowl (150g)
Chicken Stew,200,20.0,10.0,8.0,High-Protein,None,Soup,Dinner,1 bowl (250g)
Masoor Dal,230,12.0,35.0,7.0,Vegan,None,Meal,Lunch,1 bowl (200g)
Zucchini Noodles with Avocado,180,6.0,10.0,15.0,Vegan,None,Vegetable,Lunch,1 bowl (150g)
Khandvi (Savory Gram Flour Rolls),130,5.0,20.0,4.0,Vegetarian,Gluten,Grain,Snack,2 pieces (80g)
Moong Dal Khichdi,200,10.0,30.0,5.0,Vegetarian,None,Meal,Lunch,1 bowl (250g)
Mango Chia Smoothie,180,6.0,25.0,8.0,Vegan,None,Fruit,Breakfast,1 cup (200g)
Mushroom Curry,130,6.0,15.0,6.0,Vegan,None,Vegetable,Lunch,1 cup (150g)
Rajma (Kidney Bean Curry),300,15.0,50.0,7.0,Vegetarian,None,Meal,Lunch,1 serving (200g)
Fruit Smoothie (Banana + Almond Milk),200,5.0,40.0,5.0,Vegan,Nuts,Snack,Snack,1 glass (250ml)
Sprouts Salad,140,10.0,20.0,4.0,Vegan,None,Legumes,Snack,1 bowl (150g)
Tandoori Salmon,300,35.0,8.0,15.0,Low-Carb,Fish,Meal,Dinner,1 fillet (180g)
Apple Cinnamon Oatmeal,150,6.0,25.0,4.0,Vegetarian,Gluten,Grain,Breakfast,1 bowl (200g)
Chia and Almond Pudding,180,8.0,20.0,12.0,Vegan,Nuts,Nuts,Breakfast,1 cup (150g)
Sambar (Lentil Soup with Vegetables),250,12.0,45.0,6.0,Vegan,None,Legumes,Lunch,1 bowl (200g)
Ragi Dosa,160,5.0,28.0,3.0,Vegan,Gluten,Grain,Breakfast,1 dosa (100g)
Quinoa Salad,180,8.0,30.0,5.0,Vegan,None,Grain,Lunch,1 serving (150g)
Fruit Smoothie (Banana + Almond Milk),200,5.0,40.0,5.0,Vegan,Nuts,Snack,Snack,1 glass (250ml)
Greek Yogurt with Honey and Almonds,200,12.0,15.0,10.0,Vegetarian,Dairy,Dairy,Snack,1 cup (150g)
Sabudana Khichdi (Tapioca Pearl Stir-fry),200,4.0,40.0,5.0,Vegetarian,None,Grain,Lunch,1 cup (200g)
Cabbage Poriyal,150,5.0,20.0,8.0,Vegan,None,Meal,Dinner,1 serving (200g)
Khandvi (Savory Gram Flour Rolls),130,5.0,20.0,4.0,Vegetarian,Gluten,Grain,Snack,2 pieces (80g)
Tomato,22,1.0,5.0,0.2,Vegan,None,Vegetable,Snack,1 medium (100g)
Rava Dosa,130,3.0,22.0,4.0,Vegetarian,Gluten,Grain,Breakfast,1 dosa (80g)
Steamed Moong Dal with Ginger,120,9.0,18.0,2.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Baked Salmon with Vegetables,350,30.0,10.0,20.0,Low-Carb,Fish,Meat,Dinner,1 serving (200g)
Lentil Soup,150,10.0,20.0,4.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Baked Sweet Potato Fries,150,3.0,30.0,5.0,Vegan,None,Vegetable,Snack,1 serving (100g)
Berries (Mixed),70,1.0,17.0,0.5,Vegan,None,Fruit,Snack,1 cup (150g)
Aloo Gobi,150,5.0,25.0,7.0,Vegan,None,Meal,Dinner,1 bowl (200g)
Dahi Puri (Curd Puri),150,5.0,25.0,5.0,Vegetarian,None,Snack,Evening Snack,4 pieces (100g)
Aloo Methi Paratha,170,5.0,25.0,4.0,Vegetarian,Gluten,Grain,Breakfast,1 paratha (100g)
Baked Sweet Potato Fries,150,3.0,30.0,5.0,Vegan,None,Vegetable,Snack,1 serving (100g)
Baked Sweet Potatoes with Cinnamon,180,3.0,40.0,1.0,Vegan,None,Vegetable,Snack,1 medium potato (150g)
Paneer,265,18.0,1.2,20.0,High-Protein,Dairy,Dairy,Lunch,1 serving (200g)
Shahi Paneer,450,20.0,25.0,25.0,Vegetarian,Dairy,Meal,Dinner,1 serving (200g)
Palak (Spinach) Paratha,150,5.0,25.0,3.0,Vegetarian,Gluten,Grain,Breakfast,1 paratha (100g)
Oranges,62,1.2,15.4,0.2,Vegan,None,Fruit,Snack,1 medium (130g)
Chia Seeds,138,5.0,12.0,9.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Tomato and Avocado Salad,160,4.0,15.0,10.0,Vegan,None,Vegetable,Lunch,1 bowl (150g)
Tomato and Avocado Salad,160,4.0,15.0,10.0,Vegan,None,Vegetable,Lunch,1 bowl (150g)
Tofu Stir-Fry with Vegetables,220,20.0,12.0,15.0,High-Protein,Soy,Meal,Lunch,1 bowl (250g)
Dhokla,120,6.0,22.0,2.0,Vegetarian,Gluten,Grain,Breakfast,2 pieces (100g)
Barley Salad with Avocado,230,8.0,35.0,8.0,Vegan,None,Grain,Lunch,1 bowl (200g)
Cucumber,16,0.7,3.8,0.1,Vegan,None,Vegetable,Snack,1 medium (100g)
Grilled Salmon,400,40.0,5.0,25.0,Low-Carb,Fish,Meat,Dinner,1 fillet (200g)
Quinoa Salad,180,8.0,30.0,5.0,Vegan,None,Grain,Lunch,1 serving (150g)
Fruit Smoothie (Banana + Almond Milk),200,5.0,40.0,5.0,Vegan,Nuts,Snack,Snack,1 glass (250ml)
Apple Cinnamon Oats,180,5.0,35.0,3.0,Vegan,None,Grain,Breakfast,1 bowl (200g)
Chickpea Salad with Cucumber,150,10.0,20.0,5.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Tofu Stir-Fry with Vegetables,220,20.0,12.0,15.0,High-Protein,Soy,Meal,Lunch,1 bowl (250g)
Grilled Tofu Wrap,300,20.0,35.0,10.0,Vegan,Soy,Meal,Lunch,1 wrap (200g)
Chana Masala (Chickpea Curry),270,14.0,45.0,6.0,Vegan,None,Legumes,Lunch,1 cup (200g)
Tofu Stir-Fry with Vegetables,220,20.0,12.0,15.0,High-Protein,Soy,Meal,Lunch,1 bowl (250g)
Coconut Chips,200,2.0,10.0,18.0,Vegan,None,Snack,Snack,1 ounce (28g)
Tandoori Chicken,300,40.0,5.0,10.0,High-Protein,None,Meal,Dinner,1 piece (150g)
Almonds,576,21.2,21.6,49.9,High-Fat,None,Nuts,Afternoon Snack,1 handful (30g)
Peanuts,170,7.0,6.0,14.0,Vegan,Nuts,Nuts,Snack,1 ounce (28g)
Baked Falafel with Tahini Sauce,180,8.0,20.0,8.0,Vegan,None,Legumes,Lunch,1 serving (150g)
Pineapple and Cucumber Salad,100,1.0,25.0,1.0,Vegan,None,Fruit,Snack,1 bowl (150g)
Paneer,265,18.0,1.2,20.0,High-Protein,Dairy,Dairy,Lunch,1 serving (200g)
Shahi Paneer,450,20.0,25.0,25.0,Vegetarian,Dairy,Meal,Dinner,1 serving (200g)
Steamed Moong Dal with Ginger,120,9.0,18.0,2.0,Vegan,None,Legumes,Lunch,1 bowl (150g)
Vegetable Stir Fry with Tofu,200,12.0,15.0,10.0,Vegan,Soy,Protein,Lunch,1 bowl (200g)
Cashews,157,5.0,9.0,12.0,Vegan,Nuts,Nuts,Snack,1 ounce (28g)
Chia and Almond Pudding,180,8.0,20.0,12.0,Vegan,Nuts,Nuts,Breakfast,1 cup (150g)
Chia Pudding with Berries,150,6.0,15.0,9.0,Vegan,None,Nuts,Snack,1 cup (150g)
Pumpkin Seeds,180,9.0,4.0,15.0,Vegan,None,Seeds,Snack,1 ounce (28g)
Dahi Puri (Curd Puri),150,5.0,25.0,5.0,Vegetarian,None,Snack,Evening Snack,4 pieces (100g)
Chickpea Hummus with Carrot Sticks,180,8.0,20.0,8.0,Vegan,None,Legumes,Snack,1 bowl (150g)
Dosa with Sambar,350,8.0,45.0,12.0,Vegetarian,None,Meal,Breakfast,2 dosas with 1 cup sambar
Grilled Salmon,400,40.0,5.0,25.0,Low-Carb,Fish,Meat,Dinner,1 fillet (200g)
Methi Paratha,170,5.0,25.0,4.0,Vegetarian,Gluten,Grain,Breakfast,1 paratha (100g)
Masoor Dal,230,12.0,35.0,7.0,Vegan,None,Meal,Lunch,1 bowl (200g)
Palak Paneer,250,15.0,20.0,15.0,Vegetarian,Dairy,Meal,Lunch,1 serving (200g)
